index,payload,model,syntax,crs,rule_count,rule_ids,rule_refs,total_score,unique_id
2,<audio src onerror=globalThis['Function']('aler'+'t(1)')()>,0,1,block,5,"933210,941100,941120,941160,949110","o29,29v217,59t:urlDecode,t:replaceComments,t:compressWhitespace || v217,59t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o10,9v217,59t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,19v217,59t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || ",20,178029292735.897552
33,"<details ontoggle=(self[/Function/.source](self[atob('U3RyaW5n')][atob('ZnJvbUNoYXJDb2Rl')](97,108,101,114,116,40,49,41)))() open>",0,1,block,5,"933210,941100,941120,941370,949110","o18,106v217,130t:urlDecode,t:replaceComments,t:compressWhitespace || v217,130t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o8,10v217,130t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o19,23v217,130t:urlDecodeUni,t:compressWhitespace || ",20,178029295972.098504
53,"<details open ontoggle=""(function(){const g=self['\x61lert'];g(String['fromChar\u0043ode'](88,83,83))})()""></details>",0,1,block,5,"934100,941100,941120,941370,949110","o25,11v217,117 || v217,117t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,10v217,117t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o44,16v217,117t:urlDecodeUni,t:compressWhitespace || ",20,178029297932.704935
58,"<details open ontoggle=""(function(){const g=top['\x61lert'];g(btoa('WFNT').split('').map((c,i)=>String.fromCharCode(c.charCodeAt(0)^[88,83,83][i])).join(''))})()""></details>",0,1,block,5,"934100,941100,941120,941370,949110","o25,11v217,173 || v217,173t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,10v217,173t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o44,15v217,173t:urlDecodeUni,t:compressWhitespace || ",20,178029298447.393129
62,"<svg onload=""(function(){const method=parent['ale'+'rt'];method([[88],[83],[83]].flat().map(n=>String.fromCharCode(n)).join(''))})()""></svg>",0,1,block,6,"934100,934100,941100,941120,941160,949110","o14,11v217,140 || o14,11v217,140t:urlDecodeUni || v217,140t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o4,8v217,140t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,12v217,140t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || ",25,178029298842.448770
63,"<details open ontoggle=""(function(){const f=self['al'+'ert'];f(self.String['fromCharCode'](88,83,83))})()""></details>",0,1,block,7,"933210,934100,934100,941100,941120,941370,949110","o62,43v217,117t:urlDecode,t:replaceComments,t:compressWhitespace || o25,11v217,117 || o25,11v217,117t:urlDecodeUni || v217,117t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,10v217,117t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o44,16v217,117t:urlDecodeUni,t:compressWhitespace || ",30,178029298985.779825
64,"<details open ontoggle=""(function(){const a=top.atob('YWxlcnQ=');const b=top[a];b(top.String.fromCharCode(88,83,83))})()""></details>",0,1,block,5,"934100,941100,941120,941370,949110","o25,11v217,132 || v217,132t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,10v217,132t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o73,6v217,132t:urlDecodeUni,t:compressWhitespace || ",20,178029299182.763927
66,"<details open ontoggle=""(function(){const c=self.constructor.constructor;c('al'+'ert(String.fromCharCode(88,83,83))')()})()""></details>",0,1,block,5,"934100,934100,941100,941120,949110","o25,11v217,135 || o25,11v217,135t:urlDecodeUni || v217,135t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,10v217,135t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || ",20,178029299318.246366
74,"<details open ontoggle=""(function(){const c=[88,83,83];window['a\u006cert'](c.map(x=>String.fromCharCode(x)).join(''))})()""></details>",0,1,block,5,"934100,941100,941120,941370,949110","o25,11v217,134 || v217,134t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,10v217,134t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o55,20v217,134t:urlDecodeUni,t:compressWhitespace || ",20,178029300060.798599
75,"<details open ontoggle=""(function(){const s=atob('YWxlcnQ=');window[s]([88,83,83].map(x=>String.fromCharCode(x)).join(''))})()""></details>",0,1,block,6,"933210,934100,941100,941120,941370,949110","o67,59v217,138t:urlDecode,t:replaceComments,t:compressWhitespace || o25,11v217,138 || v217,138t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,10v217,138t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o61,9v217,138t:urlDecodeUni,t:compressWhitespace || ",25,178029300294.110026
78,"<details open ontoggle=""(function(){const g=window;const m=[88,83,83];g['\u0061lert'](m.map(x=>String.fromCharCode(x)).join(''))})()""></details>",0,1,block,4,"934100,941100,941120,949110","o25,11v217,144 || v217,144t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,10v217,144t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || ",15,178029300586.548432
105,"<details open ontoggle=""(function(){const c=globalThis['con'+'structor']['\x63onstructor'];c('ale'+'rt(88)')()})()""></details>",0,1,block,6,"933210,934100,934100,941100,941120,949110","o92,22v217,126t:urlDecode,t:replaceComments,t:compressWhitespace || o25,11v217,126 || o25,11v217,126t:urlDecodeUni || v217,126t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,10v217,126t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || ",25,17802930324.906242
106,"<details open ontoggle=""(function(){const a=[].find['constr'+'uctor']('retur'+'n al'+'ert')();a(String['fromCha'+'rCode'](88,83,83))})()""></details>",0,1,block,6,"933210,934100,934100,941100,941120,949110","o44,92v217,148t:urlDecode,t:replaceComments,t:compressWhitespace || o25,11v217,148 || o25,11v217,148t:urlDecodeUni || v217,148t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,10v217,148t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || ",25,178029303364.194637
107,"<details open ontoggle=""(function(){var s='ale',t='rt',u=String;globalThis[s+t](u['from'+'Char'+'Code'](0x58,0x53,0x53))})()""></details>",0,1,block,6,"933210,934100,934100,941100,941120,949110","o74,50v217,136t:urlDecode,t:replaceComments,t:compressWhitespace || o25,11v217,136 || o25,11v217,136t:urlDecodeUni || v217,136t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,10v217,136t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || ",25,17802930340.634453
110,"<details open ontoggle=""(function(){const f=top[atob('YWxlcnQ=')];f(atob('WFNT'))})()""></details>",0,1,block,5,"934100,941100,941120,941370,949110","o25,11v217,97 || v217,97t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,10v217,97t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o44,21v217,97t:urlDecodeUni,t:compressWhitespace || ",20,178029303885.927503
111,"<details open ontoggle=""(function(){const f=self['al'+'ert'];f(['X','S','S'].join(''))})()""></details>",0,1,block,6,"934100,934100,941100,941120,941370,949110","o25,11v217,102 || o25,11v217,102t:urlDecodeUni || v217,102t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,10v217,102t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o44,16v217,102t:urlDecodeUni,t:compressWhitespace || ",25,178029303924.868059
112,"<details open ontoggle=""(function(){const f=parent['ale'+'rt'];f('\x58\x53\x53')})()""></details>",0,1,block,5,"934100,934100,941100,941120,949110","o25,11v217,96 || o25,11v217,96t:urlDecodeUni || v217,96t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,10v217,96t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || ",20,178029304080.717610
113,"<details open ontoggle=""(function(){const f=globalThis['al\x65rt'];f(`XSS`)})()""></details>",0,1,block,4,"934100,941100,941120,949110","o25,11v217,91 || v217,91t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,10v217,91t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || ",15,178029304196.224255
115,"<details open ontoggle=""(function(){const f=window[atob('YWxlcnQ=')];f(String.fromCharCode(88,83,83))})()""></details>",0,1,block,5,"934100,941100,941120,941370,949110","o25,11v217,117 || v217,117t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,10v217,117t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o44,24v217,117t:urlDecodeUni,t:compressWhitespace || ",20,178029304375.566201
116,"<details open ontoggle=""(function(){const f=window['al'+'ert'];f(String['fromCharCode'](88,83,83))})()""></details>",0,1,block,7,"933210,934100,934100,941100,941120,941370,949110","o64,38v217,114t:urlDecode,t:replaceComments,t:compressWhitespace || o25,11v217,114 || o25,11v217,114t:urlDecodeUni || v217,114t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,10v217,114t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o44,18v217,114t:urlDecodeUni,t:compressWhitespace || ",30,17802930449.685374
117,"<details open ontoggle=""(function(){const f=self['\u0061l\u0065rt'];f([88,83,83].map(c=>String.fromCharCode(c)).join(''))})()""></details>",0,1,block,5,"934100,941100,941120,941370,949110","o25,11v217,137 || v217,137t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,10v217,137t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o44,23v217,137t:urlDecodeUni,t:compressWhitespace || ",20,178029304594.343102
118,"<details open ontoggle=""(function(){const f=top['ale'+'rt'];f((s=>s)(String.fromCharCode(88,83,83)))})()""></details>",0,1,block,6,"934100,934100,941100,941120,941370,949110","o25,11v217,116 || o25,11v217,116t:urlDecodeUni || v217,116t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,10v217,116t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o44,15v217,116t:urlDecodeUni,t:compressWhitespace || ",25,178029304696.062833
119,"<details open ontoggle=""(function(){const f=globalThis['\x61\x6c\x65\x72\x74'];f(btoa('WFNT')&&String.fromCharCode(88,83,83))})()""></details>",0,1,block,4,"934100,941100,941120,949110","o25,11v217,141 || v217,141t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,10v217,141t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || ",15,178029304720.752434
